m	P01	P02	P04	P05	P08	P10
0	100	14.625461	2.695088	1.003	-2.292522	6	0.005265
1	150	14.625461	1.076493	1.003	-3.000000	6	0.003384
2	200	14.625461	1.076493	1.003	-3.000000	6	0.003384
3	250	14.625461	1.076493	1.003	-3.000000	6	0.003384
4	300	14.625461	1.076493	1.003	-3.000000	6	0.003384
5	350	14.625461	1.076493	1.003	-3.000000	6	0.003384
6	400	14.625461	1.076493	1.003	-3.000000	6	0.003384
7	450	12.739168	1.076493	1.002	-3.000000	6	0.003384
8	500	12.739168	1.076493	1.002	-3.000000	6	0.003384
9	550	9.746507	1.076493	1.002	-4.000000	6	0.003384
10	600	9.746507	1.076493	1.002	-4.000000	6	0.003384
11	650	9.746507	1.076493	1.002	-4.000000	6	0.003384
12	700	9.746507	1.076493	1.002	-4.000000	6	0.003384
13	750	9.746507	1.076493	1.002	-4.000000	1	0.003384
14	800	9.746507	1.076493	1.002	-4.000000	1	0.003384
15	850	9.746507	1.076493	1.002	-4.000000	1	0.003384
16	900	9.746507	1.076493	1.002	-4.000000	1	0.003384
17	950	9.746507	1.076493	1.001	-4.000000	1	0.003384
