m	P01	P02	P04	P05	P08	P10
0	100	15.561812774796971	4.971580832038473	1.007	-2.0	17.5625	0.005264966795391179
1	150	17.666385671342706	5.2557845609540905	1.013	-1.999999999965795	15.5625	0.0033839907115190693
2	200	17.58370884484399	5.86439968853444	1.009	-3.0	5.0	0.0033839907115190693
3	250	17.583708844843994	2.15298597838711	1.006	-2.0	26.624999999999993	0.0072791183408884574
4	300	12.739168490267545	4.6458048348830765	1.005	-2.0	12.5625	0.0071015883750920605
5	350	16.936627793376502	2.6950878428449183	1.005	-1.0393524548155257	23.0625	0.0033839907115190693
6	400	12.739168490267545	3.637189707302727	1.007	-2.1213203435596424	13.0625	0.0033839907115190693
7	450	14.625460776133016	3.0950878428449187	1.005	-2.0	14.0625	0.005264966795391179
8	500	14.625460776133018	3.237189707302727	1.005	-3.0	15.062500000000007	0.0033839907115190693
9	550	14.625460776133016	2.6950878428449183	1.002	-3.0	7.0	0.0033839907115190693
10	600	9.74650722626937	2.6950878428449183	1.001	-2.1213203435596424	16.0625	0.0033839907115190693
11	650	12.739168490267545	2.6950878428449183	1.004	-4.0	9.0	0.003963172926363612
12	700	15.561812774796962	3.771580832038474	1.002	-2.5433131450245408	16.5625	0.005264966795391179
13	750	12.739168490267545	3.637189707302727	1.002	-3.0	15.062500000000007	0.0033839907115190693
14	800	12.739168490267545	2.0185948536513636	1.004	-2.1213203435596424	11.0625	0.0033839907115190693
15	850	12.739168490267545	1.6185948536513635	1.003	-3.0	12.5625	0.0033839907115190693
16	900	9.74650722626937	2.0185948536513636	1.001	-2.1213203435596424	6.0	0.0033839907115190693
17	950	9.74650722626937	2.15298597838711	1.003	-2.1213203435596424	3.0	0.0033839907115190693
